,Unnamed: 0,gender,ethnicity,score,fcollege,mcollege,home,urban,unemp,distance,tuition,education,income,region,filled_wage
0,1,male,other,39.15000153,yes,no,yes,yes,6.1999998089999995,0.200000003,0.889150023,12,high,other,8.090000153
1,2,female,other,48.86999893,no,no,yes,yes,6.1999998089999995,0.200000003,0.889150023,12,low,other,8.090000153
2,3,male,other,48.74000168,no,no,yes,yes,6.1999998089999995,0.200000003,0.889150023,12,low,other,8.090000153
3,4,male,afam,50.88770227922496,no,no,yes,yes,6.1999998089999995,0.200000003,0.889150023,12,low,other,8.090000153
4,5,female,other,40.47999954,no,no,no,yes,5.599999905,0.400000006,0.889150023,13,low,other,8.090000153000004
5,6,male,other,54.70999908,no,no,yes,yes,5.599999905,0.400000006,0.889150023,12,low,other,8.090000153
6,7,female,other,56.06999969,no,no,yes,no,7.1999998089999995,0.400000006,0.84987998,13,low,other,8.850000381000001
7,8,female,other,54.84999847,no,no,yes,no,7.1999998089999995,0.400000006,0.84987998,15,low,other,8.850000381000001
8,9,male,other,64.73999786,yes,no,yes,yes,5.900000095,3.0,0.889150023,13,low,other,8.090000153
9,10,female,other,56.06000137,no,no,yes,yes,5.900000095,3.0,0.889150023,15,low,other,8.090000153
10,11,female,other,42.22000122,no,no,yes,yes,5.900000095,3.0,0.889150023,12,high,other,8.090000153
11,12,female,afam,61.18000031,no,yes,yes,yes,5.900000095,3.0,0.889150023,14,high,other,8.090000153
12,13,male,other,59.84999847,no,no,yes,no,7.1999998089999995,0.10000000099999999,0.84987998,15,low,other,8.850000381000001
13,14,female,other,58.77000046,yes,no,yes,no,7.1999998089999995,0.10000000099999999,0.84987998,17,high,other,8.850000381000001
14,15,female,afam,53.72000122,yes,yes,yes,no,7.1999998089999995,0.10000000099999999,0.84987998,14,low,other,8.850000381000001
15,16,male,other,61.52000046,no,no,yes,no,7.1999998089999995,0.10000000099999999,0.84987998,15,low,other,8.850000381000001
16,17,female,other,52.52999878,no,no,yes,no,7.1999998089999995,0.10000000099999999,0.84987998,12,high,other,8.850000381000001
17,18,female,other,45.00999832,no,no,yes,no,7.1999998089999995,0.10000000099999999,0.84987998,12,low,other,8.850000381000001
18,19,female,other,57.70999908,no,no,yes,no,7.1999998089999995,0.10000000099999999,0.84987998,16,low,other,8.850000381000001
19,20,female,other,59.36000061,yes,yes,yes,no,7.1999998089999995,0.10000000099999999,0.84987998,16,high,other,8.850000381000001
20,21,female,other,50.93000031,no,no,yes,no,7.6999998089999995,0.5,0.902999997,13,low,other,7.0399999620000004
21,22,male,other,59.56000137,yes,no,yes,no,7.6999998089999995,0.5,0.902999997,14,high,other,7.0399999620000004
22,23,male,other,58.45999908,yes,yes,yes,no,7.6999998089999995,0.5,0.902999997,13,low,other,7.0399999620000004
23,24,female,other,55.70000076,no,no,no,no,7.6999998089999995,0.5,0.902999997,16,low,other,7.0399999620000004
24,25,male,other,60.81000137,no,no,yes,no,7.6999998089999995,0.5,0.902999997,15,low,other,7.0399999620000004
25,26,female,afam,40.59999847,no,no,yes,no,5.400000095,0.8999999759999999,0.84987998,12,low,other,8.850000381000001
26,27,female,other,49.99000168,no,no,yes,no,5.400000095,0.8999999759999999,0.84987998,12,low,other,8.850000381000001
27,28,male,other,59.68999863,no,no,yes,yes,5.099999905,0.5,0.84987998,15,low,other,8.850000381000001
28,29,male,other,60.33000183,no,no,yes,yes,5.099999905,0.5,0.84987998,16,low,other,8.850000381000001
29,30,female,other,60.13999939,yes,no,yes,yes,5.099999905,0.5,0.84987998,12,high,other,8.850000381000001
30,31,female,other,68.58000183,yes,yes,yes,yes,5.099999905,0.5,0.84987998,16,high,other,8.850000381000001
31,32,female,other,42.61000061,no,no,yes,yes,5.099999905,0.5,0.84987998,12,low,other,8.850000381000001
32,33,male,other,58.65999985,yes,no,yes,yes,5.099999905,0.5,0.84987998,16,high,other,8.850000380999985
33,34,male,other,58.13999939,no,no,yes,yes,5.099999905,0.5,0.84987998,14,low,other,8.850000381000001
34,35,female,other,58.95000076,no,no,yes,yes,5.099999905,0.5,0.84987998,16,low,other,8.850000381000001
35,36,male,other,49.36999893,no,no,yes,yes,5.400000095,0.200000003,0.84987998,17,low,other,8.850000381000001
36,37,female,other,47.25,no,yes,no,yes,5.400000095,0.200000003,0.84987998,16,low,other,8.850000381000001
37,38,male,other,61.02999878,yes,no,no,no,6.1999998089999995,0.600000024,0.889150023,14,high,other,8.090000153
38,39,male,other,54.34999847,no,no,no,no,6.1999998089999995,0.600000024,0.889150023,15,high,other,8.090000153
39,40,female,other,68.12000275,yes,yes,yes,no,6.1999998089999995,0.600000024,0.889150023,15,high,other,8.090000153
40,41,male,other,70.09999847,yes,no,yes,no,6.1999998089999995,0.600000024,0.889150023,17,high,other,8.090000153
41,42,female,other,58.61000061,no,no,no,no,6.1999998089999995,0.600000024,0.889150023,15,low,other,8.090000153
42,43,female,other,48.56999969,no,no,yes,no,6.1999998089999995,0.600000024,0.889150023,12,low,other,8.090000153
43,44,female,other,51.11000061,no,no,yes,no,6.1999998089999995,0.600000024,0.889150023,12,low,other,8.090000153
44,45,female,other,39.40999985,no,no,yes,no,6.1999998089999995,0.600000024,0.889150023,15,low,other,8.090000153
45,46,female,other,54.97999954,yes,no,yes,no,7.1999998089999995,0.10000000099999999,0.902999997,16,high,other,7.0399999620000004
46,47,female,afam,41.59000015,yes,yes,no,no,7.1999998089999995,0.10000000099999999,0.902999997,12,low,other,7.0399999620000004
47,48,female,other,55.31999969,no,no,yes,no,7.1999998089999995,0.10000000099999999,0.902999997,13,low,other,7.0399999620000004
48,49,male,hispanic,42.22999954,no,no,yes,no,7.1999998089999995,0.10000000099999999,0.902999997,12,low,other,7.0399999620000004
49,50,female,other,62.0,no,no,yes,no,7.1999998089999995,0.10000000099999999,0.902999997,16,low,other,7.0399999620000004
50,51,male,hispanic,49.65000153,no,no,no,no,7.1999998089999995,0.10000000099999999,0.902999997,15,low,other,7.0399999620000004
51,52,female,other,44.95999908,no,no,yes,no,7.1999998089999995,0.10000000099999999,0.902999997,12,low,other,7.0399999620000004
52,53,female,other,37.31000137,no,no,yes,no,7.1999998089999995,0.10000000099999999,0.902999997,12,low,other,7.0399999620000004
53,54,male,other,39.86999893,no,no,yes,no,7.1999998089999995,0.10000000099999999,0.902999997,12,low,other,7.0399999620000004
